engine,query_name,status,execution_time_s,paper_category,detail_reason_code,detail_signature
cedardb,query_18.sql,ERROR,0.033000,DIALECT,UNSUPPORTED_DISTINCT_IN_GROUPING_SETS,psql:<stdin>:38: ERROR:  distinct aggregate function count not supported in grouping sets
cedardb,query_19.sql,SUCCESS,0.380000,SUCCESS,,
cedardb,query_20.sql,SUCCESS,0.196000,SUCCESS,,
cedardb,query_21.sql,SUCCESS,0.119000,SUCCESS,,
cedardb,query_22.sql,SUCCESS,1.504000,SUCCESS,,
cedardb,query_23.sql,SUCCESS,0.421000,SUCCESS,,
cedardb,query_24.sql,SUCCESS,0.564000,SUCCESS,,
cedardb,query_25.sql,SUCCESS,0.717000,SUCCESS,,
cedardb,query_26.sql,SUCCESS,0.304000,SUCCESS,,
cedardb,query_27.sql,ERROR,0.035000,DIALECT,UNSUPPORTED_DISTINCT_IN_GROUPING_SETS,psql:<stdin>:27: ERROR:  distinct aggregate function count not supported in grouping sets
cedardb,query_28.sql,SUCCESS,0.236000,SUCCESS,,
cedardb,query_29.sql,SUCCESS,0.393000,SUCCESS,,
cedardb,query_30.sql,SUCCESS,0.095000,SUCCESS,,
cedardb,query_31.sql,SUCCESS,0.143000,SUCCESS,,
cedardb,query_32.sql,SUCCESS,0.137000,SUCCESS,,
cedardb,query_33.sql,SUCCESS,0.493000,SUCCESS,,
cedardb,query_34.sql,SUCCESS,0.149000,SUCCESS,,
cedardb,query_35.sql,SUCCESS,0.344000,SUCCESS,,
cedardb,query_36.sql,SUCCESS,0.362000,SUCCESS,,
cedardb,query_37.sql,SUCCESS,0.159000,SUCCESS,,
cedardb,query_38.sql,SUCCESS,2.663000,SUCCESS,,
cedardb,query_39.sql,SUCCESS,0.135000,SUCCESS,,
cedardb,query_40.sql,SUCCESS,0.107000,SUCCESS,,
cedardb,query_41.sql,SUCCESS,0.054000,SUCCESS,,
cedardb,query_42.sql,SUCCESS,0.225000,SUCCESS,,
cedardb,query_43.sql,SUCCESS,0.098000,SUCCESS,,
cedardb,query_44.sql,SUCCESS,0.073000,SUCCESS,,
cedardb,query_45.sql,SUCCESS,0.120000,SUCCESS,,
cedardb,query_46.sql,SUCCESS,0.189000,SUCCESS,,
cedardb,query_47.sql,SUCCESS,1.221000,SUCCESS,,
cedardb,query_48.sql,SUCCESS,0.171000,SUCCESS,,
cedardb,query_49.sql,SUCCESS,0.820000,SUCCESS,,
cedardb,query_50.sql,SUCCESS,0.292000,SUCCESS,,
cedardb,query_51.sql,SUCCESS,0.480000,SUCCESS,,
cedardb,query_52.sql,SUCCESS,0.350000,SUCCESS,,
cedardb,query_53.sql,SUCCESS,0.226000,SUCCESS,,
cedardb,query_54.sql,ERROR,0.216000,FAILURE,SCALAR_SUBQUERY_MULTIPLE_ROWS,psql:<stdin>:52: ERROR:  more than one row returned by a subquery used as an expression
cedardb,query_55.sql,SUCCESS,0.198000,SUCCESS,,
cedardb,query_56.sql,SUCCESS,0.479000,SUCCESS,,
cedardb,query_57.sql,SUCCESS,0.487000,SUCCESS,,
cedardb,query_58.sql,ERROR,0.036000,DIALECT,UNSUPPORTED_AGGREGATE_CONTEXT,psql:<stdin>:66: ERROR:  aggregate functions are not allowed here
cedardb,query_59.sql,SUCCESS,0.273000,SUCCESS,,
cedardb,query_60.sql,ERROR,0.033000,DIALECT,UNSUPPORTED_AGGREGATE_CONTEXT,psql:<stdin>:82: ERROR:  aggregate functions are not allowed here
cedardb,query_61.sql,SUCCESS,0.527000,SUCCESS,,
cedardb,query_62.sql,SUCCESS,0.081000,SUCCESS,,
cedardb,query_63.sql,SUCCESS,0.214000,SUCCESS,,
cedardb,query_64.sql,SUCCESS,1.208000,SUCCESS,,
cedardb,query_65.sql,SUCCESS,0.661000,SUCCESS,,
cedardb,query_66.sql,SUCCESS,0.133000,SUCCESS,,
cedardb,query_67.sql,SUCCESS,1.263000,SUCCESS,,
cedardb,query_68.sql,SUCCESS,0.238000,SUCCESS,,
cedardb,query_69.sql,SUCCESS,0.140000,SUCCESS,,
cedardb,query_70.sql,ERROR,0.033000,DIALECT,UNSUPPORTED_DISTINCT_IN_GROUPING_SETS,psql:<stdin>:42: ERROR:  distinct aggregate function count not supported in grouping sets
cedardb,query_71.sql,ERROR,0.034000,DIALECT,UNSUPPORTED_AGGREGATE_CONTEXT,psql:<stdin>:41: ERROR:  aggregate functions are not allowed here
cedardb,query_72.sql,SUCCESS,0.232000,SUCCESS,,
cedardb,query_73.sql,SUCCESS,0.131000,SUCCESS,,
cedardb,query_74.sql,SUCCESS,0.392000,SUCCESS,,
cedardb,query_75.sql,SUCCESS,18.738000,SUCCESS,,
cedardb,query_76.sql,SUCCESS,0.145000,SUCCESS,,
cedardb,query_77.sql,SUCCESS,0.202000,SUCCESS,,
cedardb,query_78.sql,SUCCESS,1.292000,SUCCESS,,
cedardb,query_79.sql,SUCCESS,0.188000,SUCCESS,,
cedardb,query_80.sql,SUCCESS,0.432000,SUCCESS,,
cedardb,query_81.sql,SUCCESS,0.127000,SUCCESS,,
cedardb,query_82.sql,SUCCESS,0.108000,SUCCESS,,
cedardb,query_83.sql,ERROR,0.033000,DIALECT,UNSUPPORTED_AGGREGATE_CONTEXT,psql:<stdin>:69: ERROR:  aggregate functions are not allowed here
cedardb,query_84.sql,SUCCESS,0.156000,SUCCESS,,
cedardb,query_85.sql,SUCCESS,0.144000,SUCCESS,,
cedardb,query_86.sql,SUCCESS,0.109000,SUCCESS,,
cedardb,query_87.sql,SUCCESS,2.487000,SUCCESS,,
cedardb,query_88.sql,SUCCESS,0.592000,SUCCESS,,
cedardb,query_89.sql,SUCCESS,0.380000,SUCCESS,,
cedardb,query_90.sql,SUCCESS,0.107000,SUCCESS,,
cedardb,query_91.sql,SUCCESS,0.073000,SUCCESS,,
cedardb,query_92.sql,SUCCESS,0.124000,SUCCESS,,
cedardb,query_93.sql,SUCCESS,0.036000,SUCCESS,,
cedardb,query_94.sql,SUCCESS,0.039000,SUCCESS,,
cedardb,query_95.sql,SUCCESS,0.040000,SUCCESS,,
cedardb,query_96.sql,SUCCESS,0.109000,SUCCESS,,
cedardb,query_97.sql,SUCCESS,0.415000,SUCCESS,,
cedardb,query_98.sql,SUCCESS,0.356000,SUCCESS,,
cedardb,query_99.sql,SUCCESS,0.145000,SUCCESS,,
monetdb,query_1.sql,SUCCESS,1.109000,SUCCESS,,
monetdb,query_2.sql,SUCCESS,16.489000,SUCCESS,,
monetdb,query_3.sql,SUCCESS,1.756000,SUCCESS,,
monetdb,query_4.sql,SUCCESS,21.289000,SUCCESS,,
monetdb,query_5.sql,ERROR,0.015000,PARSE,PARSE,"ERROR = !syntax error, unexpected RETURNS in: ""with ssr as"
monetdb,query_6.sql,SUCCESS,2.180000,SUCCESS,,
monetdb,query_7.sql,SUCCESS,0.275000,SUCCESS,,
monetdb,query_8.sql,SUCCESS,8.165000,SUCCESS,,
monetdb,query_9.sql,SUCCESS,1.157000,SUCCESS,,
monetdb,query_10.sql,SUCCESS,2.812000,SUCCESS,,
monetdb,query_11.sql,SUCCESS,14.194000,SUCCESS,,
monetdb,query_12.sql,ERROR,0.019000,PARSE,PARSE,"ERROR = !syntax error, unexpected ')' in: ""select  i_item_id"
monetdb,query_13.sql,SUCCESS,7.093000,SUCCESS,,
monetdb,query_14.sql,SUCCESS,119.103000,SUCCESS,,
monetdb,query_15.sql,SUCCESS,0.136000,SUCCESS,,
monetdb,query_16.sql,ERROR,0.011000,PARSE,PARSE,"ERROR = !syntax error, unexpected ')' in: ""select count(distinct cs_order_number) as ""order count"""
monetdb,query_17.sql,SUCCESS,13.856000,SUCCESS,,
monetdb,query_18.sql,SUCCESS,6.176000,SUCCESS,,
monetdb,query_19.sql,SUCCESS,1.145000,SUCCESS,,
monetdb,query_20.sql,ERROR,0.012000,PARSE,PARSE,"ERROR = !syntax error, unexpected ')' in: ""select  i_item_id"
monetdb,query_21.sql,ERROR,0.013000,PARSE,PARSE,"ERROR = !syntax error, unexpected ')' in: ""select *"
monetdb,query_22.sql,SUCCESS,5.476000,SUCCESS,,
monetdb,query_23.sql,SUCCESS,12.387000,SUCCESS,,
monetdb,query_24.sql,SUCCESS,17.127000,SUCCESS,,
monetdb,query_25.sql,SUCCESS,8.709000,SUCCESS,,
monetdb,query_26.sql,SUCCESS,0.168000,SUCCESS,,
monetdb,query_27.sql,SUCCESS,9.669000,SUCCESS,,
monetdb,query_28.sql,SUCCESS,0.508000,SUCCESS,,
monetdb,query_29.sql,SUCCESS,8.466000,SUCCESS,,
monetdb,query_30.sql,SUCCESS,0.167000,SUCCESS,,
monetdb,query_31.sql,SUCCESS,12.248000,SUCCESS,,
monetdb,query_32.sql,ERROR,0.013000,PARSE,PARSE,"ERROR = !syntax error, unexpected ')' in: ""select  sum(cs_ext_discount_amt)  as ""excess discount amount"""
monetdb,query_33.sql,SUCCESS,1.719000,SUCCESS,,
monetdb,query_34.sql,SUCCESS,0.281000,SUCCESS,,
monetdb,query_35.sql,SUCCESS,2.393000,SUCCESS,,
monetdb,query_36.sql,SUCCESS,0.013000,SUCCESS,,
monetdb,query_37.sql,ERROR,0.012000,PARSE,PARSE,"ERROR = !syntax error, unexpected ')' in: ""select i_item_id"
monetdb,query_38.sql,SUCCESS,2.949000,SUCCESS,,
monetdb,query_39.sql,SUCCESS,8.824000,SUCCESS,,
monetdb,query_40.sql,ERROR,0.014000,PARSE,PARSE,"ERROR = !syntax error, unexpected ')' in: ""select w_state"
monetdb,query_41.sql,SUCCESS,0.025000,SUCCESS,,
monetdb,query_42.sql,SUCCESS,0.662000,SUCCESS,,
monetdb,query_43.sql,SUCCESS,0.245000,SUCCESS,,
monetdb,query_44.sql,SUCCESS,0.258000,SUCCESS,,
monetdb,query_45.sql,SUCCESS,0.184000,SUCCESS,,
monetdb,query_46.sql,SUCCESS,1.381000,SUCCESS,,
monetdb,query_47.sql,SUCCESS,3.675000,SUCCESS,,
monetdb,query_48.sql,SUCCESS,0.893000,SUCCESS,,
monetdb,query_49.sql,SUCCESS,28.931000,SUCCESS,,
monetdb,query_50.sql,ERROR,0.214000,DIALECT,UNSUPPORTED_REGEX_FLAG_G,ERROR = !Illegal argument: unsupported flag character 'g'
monetdb,query_51.sql,SUCCESS,3.340000,SUCCESS,,
monetdb,query_52.sql,SUCCESS,1.089000,SUCCESS,,
monetdb,query_53.sql,SUCCESS,0.248000,SUCCESS,,
monetdb,query_54.sql,ERROR,1.872000,FAILURE,SCALAR_SUBQUERY_MULTIPLE_ROWS,ERROR = !GDK reported error: BATsubcross: more than one match
monetdb,query_55.sql,SUCCESS,10.099000,SUCCESS,,
monetdb,query_56.sql,SUCCESS,0.199000,SUCCESS,,
monetdb,query_57.sql,SUCCESS,0.425000,SUCCESS,,
monetdb,query_58.sql,SUCCESS,13.084000,SUCCESS,,
monetdb,query_59.sql,SUCCESS,3.674000,SUCCESS,,
monetdb,query_60.sql,SUCCESS,1.515000,SUCCESS,,
monetdb,query_61.sql,SUCCESS,0.437000,SUCCESS,,
monetdb,query_62.sql,ERROR,0.085000,DIALECT,UNSUPPORTED_REGEX_FLAG_G,ERROR = !Illegal argument: unsupported flag character 'g'
monetdb,query_63.sql,SUCCESS,0.267000,SUCCESS,,
monetdb,query_64.sql,SUCCESS,23.226000,SUCCESS,,
monetdb,query_65.sql,SUCCESS,5.237000,SUCCESS,,
monetdb,query_66.sql,ERROR,0.015000,PARSE,PARSE,"ERROR = !syntax error, unexpected YEAR in: ""select"
monetdb,query_67.sql,SUCCESS,130.007000,SUCCESS,,
monetdb,query_68.sql,SUCCESS,1.465000,SUCCESS,,
monetdb,query_69.sql,SUCCESS,1.778000,SUCCESS,,
monetdb,query_70.sql,SUCCESS,9.504000,SUCCESS,,
monetdb,query_71.sql,SUCCESS,1.152000,SUCCESS,,
monetdb,query_72.sql,ERROR,0.025000,DIALECT,UNSUPPORTED_DATE_PLUS_INTEGER_OPERATOR,"ERROR = !SELECT: no such operator 'sys'.'sql_add'(date, tinyint)"
monetdb,query_73.sql,SUCCESS,0.171000,SUCCESS,,
monetdb,query_74.sql,ERROR,0.013000,PARSE,PARSE_CTE_MATERIALIZED,"ERROR = !syntax error, unexpected IDENT, expecting '(' in: ""with year_total as materialized"""
monetdb,query_75.sql,ERROR,0.010000,PARSE,PARSE,"ERROR = !syntax error, unexpected YEAR in: ""with all_sales as ("
monetdb,query_76.sql,SUCCESS,1.360000,SUCCESS,,
monetdb,query_77.sql,ERROR,0.016000,PARSE,PARSE,"ERROR = !syntax error, unexpected ')' in: ""with ss as"
monetdb,query_78.sql,SUCCESS,170.550000,SUCCESS,,
monetdb,query_79.sql,SUCCESS,0.494000,SUCCESS,,
monetdb,query_80.sql,ERROR,0.015000,PARSE,PARSE,"ERROR = !syntax error, unexpected RETURNS in: ""with ssr as"
monetdb,query_81.sql,SUCCESS,0.373000,SUCCESS,,
monetdb,query_82.sql,ERROR,0.014000,PARSE,PARSE,"ERROR = !syntax error, unexpected ')' in: ""select  i_item_id"
monetdb,query_83.sql,SUCCESS,11.952000,SUCCESS,,
monetdb,query_84.sql,SUCCESS,0.210000,SUCCESS,,
monetdb,query_85.sql,SUCCESS,0.403000,SUCCESS,,
monetdb,query_86.sql,SUCCESS,0.014000,SUCCESS,,
monetdb,query_87.sql,SUCCESS,2.787000,SUCCESS,,
monetdb,query_88.sql,SUCCESS,1.093000,SUCCESS,,
monetdb,query_89.sql,SUCCESS,0.276000,SUCCESS,,
monetdb,query_90.sql,SUCCESS,0.114000,SUCCESS,,
monetdb,query_91.sql,SUCCESS,0.071000,SUCCESS,,
monetdb,query_92.sql,ERROR,0.013000,PARSE,PARSE,"ERROR = !syntax error, unexpected ')' in: ""select"
monetdb,query_93.sql,SUCCESS,19.452000,SUCCESS,,
monetdb,query_94.sql,ERROR,0.017000,PARSE,PARSE,"ERROR = !syntax error, unexpected ')' in: ""select"
monetdb,query_95.sql,ERROR,0.015000,PARSE,PARSE,"ERROR = !syntax error, unexpected ')' in: ""with ws_wh as"
monetdb,query_96.sql,SUCCESS,0.199000,SUCCESS,,
monetdb,query_97.sql,ERROR,0.012000,DIALECT,UNSUPPORTED_LIMIT_IN_VIEW,ERROR = !CREATE VIEW: LIMIT not supported
monetdb,query_98.sql,ERROR,0.009000,PARSE,PARSE,"ERROR = !syntax error, unexpected ')' in: ""select i_item_id"
monetdb,query_99.sql,ERROR,0.143000,DIALECT,UNSUPPORTED_REGEX_FLAG_G,ERROR = !Illegal argument: unsupported flag character 'g'
