suite,query_id,phase,latency_ms,status,n_rows,err
tpch100,q01,measured,292.918,ok,4,
tpch100,q02,measured,104.949,ok,100,
tpch100,q03,measured,723.020,ok,10,
tpch100,q04,measured,495.008,ok,5,
tpch100,q05,measured,614.285,ok,5,
tpch100,q06,measured,58.054,ok,1,
tpch100,q07,measured,821.550,ok,4,
tpch100,q08,measured,391.489,ok,2,
tpch100,q09,measured,2784.981,ok,175,
tpch100,q10,measured,568.826,ok,20,
tpch100,q11,measured,81.064,empty,0,
tpch100,q12,measured,353.823,ok,2,
tpch100,q13,measured,1055.195,ok,45,
tpch100,q14,measured,304.992,ok,1,
tpch100,q15,measured,134.182,ok,1,
tpch100,q16,measured,244.112,ok,27840,
tpch100,q17,measured,349.267,ok,1,
tpch100,q18,measured,1012.819,ok,100,
tpch100,q19,measured,470.433,ok,1,
tpch100,q20,measured,290.197,ok,17971,
tpch100,q21,measured,1916.081,ok,100,
tpch100,q22,measured,483.610,ok,7,
jcch100,1,measured,381.066,ok,4,
jcch100,10,warmup,,error,0,"Conversion Error: invalid date field format: """", expected format is (YYYY-MM-DD)"
jcch100,11,measured,78.117,empty,0,
jcch100,12,measured,400.054,ok,2,
jcch100,13,measured,1045.959,ok,45,
jcch100,14,measured,323.275,ok,1,
jcch100,15,measured,315.462,empty,0,
jcch100,16,measured,240.002,ok,27840,
jcch100,17,measured,336.375,ok,1,
jcch100,18,measured,886.636,ok,100,
jcch100,19,measured,473.786,ok,1,
jcch100,2,measured,248.465,ok,100,
jcch100,20,measured,362.061,ok,17971,
jcch100,21,measured,1919.544,ok,100,
jcch100,22,measured,494.261,ok,7,
jcch100,3,measured,669.842,ok,10,
jcch100,4,measured,566.044,ok,5,
jcch100,5,measured,615.595,ok,5,
jcch100,6,measured,82.614,ok,1,
jcch100,7,warmup,,error,0,"Conversion Error: invalid date field format: """", expected format is (YYYY-MM-DD)"
jcch100,8,warmup,,error,0,"Conversion Error: invalid date field format: """", expected format is (YYYY-MM-DD)"
jcch100,9,measured,2944.451,ok,175,
dsb100,agg_queries__s0_q00,measured,120.018,ok,9,
dsb100,agg_queries__s0_q01,measured,167.201,empty,0,
dsb100,agg_queries__s0_q02,measured,116.838,empty,0,
dsb100,agg_queries__s0_q03,measured,59.475,ok,33,
dsb100,agg_queries__s0_q04,measured,19.914,empty,0,
dsb100,agg_queries__s0_q05,measured,162.513,ok,1,
dsb100,agg_queries__s0_q06,measured,183.617,ok,54,
dsb100,agg_queries__s0_q07,measured,910.987,ok,100,
dsb100,agg_queries__s0_q08,measured,69.148,ok,100,
dsb100,agg_queries__s0_q09,measured,79.468,ok,5,
dsb100,agg_queries__s0_q10,measured,55.729,ok,100,
dsb100,agg_queries__s0_q11,measured,131.772,ok,40,
dsb100,agg_queries__s0_q12,measured,87.785,ok,503,
dsb100,agg_queries__s0_q13,measured,191.650,ok,100,
dsb100,agg_queries__s0_q14,measured,33.592,ok,25,
dsb100,agg_queries__s1_q00,measured,61.421,ok,100,
dsb100,agg_queries__s1_q01,measured,28.486,ok,30,
dsb100,agg_queries__s1_q02,measured,95.108,empty,0,
dsb100,agg_queries__s1_q03,measured,110.122,empty,0,
dsb100,agg_queries__s1_q04,measured,163.238,ok,1,
dsb100,agg_queries__s1_q05,measured,43.629,empty,0,
dsb100,agg_queries__s1_q06,measured,82.851,ok,9,
dsb100,agg_queries__s1_q07,measured,170.755,ok,52,
dsb100,agg_queries__s1_q08,measured,34.984,ok,14,
dsb100,agg_queries__s1_q09,measured,139.413,empty,0,
dsb100,agg_queries__s1_q10,measured,57.985,ok,100,
dsb100,agg_queries__s1_q11,measured,77.139,ok,24,
dsb100,agg_queries__s1_q12,measured,100.411,ok,193,
dsb100,agg_queries__s1_q13,measured,867.757,ok,100,
dsb100,agg_queries__s1_q14,measured,102.508,ok,27,
dsb100,multi_block_queries__s0_q00,measured,53.885,ok,1,
dsb100,multi_block_queries__s0_q01,measured,267.240,ok,100,
dsb100,multi_block_queries__s0_q02,measured,53.236,empty,0,
dsb100,multi_block_queries__s0_q03,measured,68.606,empty,0,
dsb100,multi_block_queries__s0_q04,measured,59.210,ok,13,
dsb100,multi_block_queries__s0_q05,measured,353.929,empty,0,
dsb100,multi_block_queries__s0_q06,measured,321.777,ok,1,
dsb100,multi_block_queries__s0_q07,measured,54.204,empty,0,
dsb100,multi_block_queries__s0_q08,measured,58.606,ok,1,
dsb100,multi_block_queries__s0_q09,measured,61.886,empty,0,
dsb100,multi_block_queries__s0_q10,measured,69.679,ok,1,
dsb100,multi_block_queries__s0_q11,measured,63.053,empty,0,
dsb100,multi_block_queries__s0_q12,measured,36.351,empty,0,
dsb100,multi_block_queries__s0_q13,measured,84.185,ok,1,
dsb100,multi_block_queries__s0_q14,measured,131.296,empty,0,
dsb100,multi_block_queries__s0_q15,measured,536.401,ok,100,
dsb100,multi_block_queries__s0_q16,measured,42.624,ok,1,
dsb100,multi_block_queries__s0_q17,measured,48.384,empty,0,
dsb100,multi_block_queries__s0_q18,measured,212.237,ok,24,
dsb100,multi_block_queries__s0_q19,measured,453.195,ok,100,
dsb100,multi_block_queries__s0_q20,measured,727.725,ok,85,
dsb100,multi_block_queries__s0_q21,measured,145.482,ok,100,
dsb100,multi_block_queries__s1_q00,measured,372.883,ok,1,
dsb100,multi_block_queries__s1_q01,measured,54.082,empty,0,
dsb100,multi_block_queries__s1_q02,measured,36.025,ok,1,
dsb100,multi_block_queries__s1_q03,measured,57.677,ok,1,
dsb100,multi_block_queries__s1_q04,measured,58.320,empty,0,
dsb100,multi_block_queries__s1_q05,measured,49.196,empty,0,
dsb100,multi_block_queries__s1_q06,measured,56.171,empty,0,
dsb100,multi_block_queries__s1_q07,measured,51.414,ok,1,
dsb100,multi_block_queries__s1_q08,measured,89.911,ok,100,
dsb100,multi_block_queries__s1_q09,measured,48.954,ok,20,
dsb100,multi_block_queries__s1_q10,measured,368.785,ok,100,
dsb100,multi_block_queries__s1_q11,measured,99.573,empty,0,
dsb100,multi_block_queries__s1_q12,measured,193.923,ok,23,
dsb100,multi_block_queries__s1_q13,measured,71.247,empty,0,
dsb100,multi_block_queries__s1_q14,measured,237.717,ok,100,
dsb100,multi_block_queries__s1_q15,measured,590.456,ok,100,
dsb100,multi_block_queries__s1_q16,measured,627.771,ok,69,
dsb100,multi_block_queries__s1_q17,measured,408.559,empty,0,
dsb100,multi_block_queries__s1_q18,measured,23.734,empty,0,
dsb100,multi_block_queries__s1_q19,measured,136.969,ok,80,
dsb100,multi_block_queries__s1_q20,measured,99.420,ok,1,
dsb100,multi_block_queries__s1_q21,measured,146.995,ok,1,
dsb100,spj_queries__s0_q00,measured,57.827,ok,1,
dsb100,spj_queries__s0_q01,measured,197.024,ok,1,
dsb100,spj_queries__s0_q02,measured,133.267,ok,1,
dsb100,spj_queries__s0_q03,measured,76.172,ok,1,
dsb100,spj_queries__s0_q04,measured,14.242,ok,1,
dsb100,spj_queries__s0_q05,measured,168.692,ok,1,
dsb100,spj_queries__s0_q06,measured,174.204,ok,1,
dsb100,spj_queries__s0_q07,measured,682.955,ok,1,
dsb100,spj_queries__s0_q08,measured,51.179,ok,1,
dsb100,spj_queries__s0_q09,measured,55.227,ok,1,
dsb100,spj_queries__s0_q10,measured,69.852,ok,1,
dsb100,spj_queries__s0_q11,measured,96.115,ok,1,
dsb100,spj_queries__s0_q12,measured,126.827,ok,1,
dsb100,spj_queries__s0_q13,measured,193.346,ok,1,
dsb100,spj_queries__s0_q14,measured,48.220,ok,1,
dsb100,spj_queries__s1_q00,measured,51.962,ok,1,
dsb100,spj_queries__s1_q01,measured,22.462,ok,1,
dsb100,spj_queries__s1_q02,measured,185.625,ok,1,
dsb100,spj_queries__s1_q03,measured,147.628,ok,1,
dsb100,spj_queries__s1_q04,measured,162.396,ok,1,
dsb100,spj_queries__s1_q05,measured,34.473,ok,1,
dsb100,spj_queries__s1_q06,measured,68.555,ok,1,
dsb100,spj_queries__s1_q07,measured,199.297,ok,1,
dsb100,spj_queries__s1_q08,measured,28.716,ok,1,
dsb100,spj_queries__s1_q09,measured,133.401,ok,1,
dsb100,spj_queries__s1_q10,measured,55.597,ok,1,
dsb100,spj_queries__s1_q11,measured,145.926,ok,1,
dsb100,spj_queries__s1_q12,measured,184.478,ok,1,
dsb100,spj_queries__s1_q13,measured,615.994,ok,1,
dsb100,spj_queries__s1_q14,measured,98.545,ok,1,
